cell,attempts,source_clusters,root_passages,reference_voices,arm_a,arm_b,role,metric,delta_a_minus_b,method,lo,hi,n_valid,n_empty,degenerate
B0,14,14,14,11,cosy_long,cosy_short,primary,wer_all_pct,-2.441855907363713,source_conditional,-4.424593278190134,-0.3791519915840314,10000,0,False
B0,14,14,14,11,cosy_long,cosy_short,primary,wer_all_pct,-2.441855907363713,source_voice_crossed,-5.5569164412664085,0.9688375307869799,9997,3,False
B0,14,14,14,11,cosy_long,cosy_short,primary,correct_word_recall_pct,2.545375576100774,source_conditional,0.48279998800108437,4.484101439439115,10000,0,False
B0,14,14,14,11,cosy_long,cosy_short,primary,correct_word_recall_pct,2.545375576100774,source_voice_crossed,-0.8514484785426774,5.60356875082119,9997,3,False
B0,14,14,14,11,qwen_long,qwen_short,primary,wer_all_pct,-1.7390279678490626,source_conditional,-4.75995611569906,1.3871020070457365,10000,0,False
B0,14,14,14,11,qwen_long,qwen_short,primary,wer_all_pct,-1.7390279678490626,source_voice_crossed,-6.694823020388281,3.682579212013292,9997,3,False
B0,14,14,14,11,qwen_long,qwen_short,primary,correct_word_recall_pct,1.4622210299673657,source_conditional,-1.5700707261822306,4.363587714731247,10000,0,False
B0,14,14,14,11,qwen_long,qwen_short,primary,correct_word_recall_pct,1.4622210299673657,source_voice_crossed,-3.743576667429147,6.270748073629451,9997,3,False
B0,14,14,14,11,vox_long,vox_short,primary,wer_all_pct,-1.0397337014062198,source_conditional,-2.4328014766788364,0.23749219640245833,10000,0,False
B0,14,14,14,11,vox_long,vox_short,primary,wer_all_pct,-1.0397337014062198,source_voice_crossed,-3.5428251665493,0.8545536302625822,9997,3,False
B0,14,14,14,11,vox_long,vox_short,primary,correct_word_recall_pct,1.3172000515469975,source_conditional,0.2566528891998878,2.4577222259474345,10000,0,False
B0,14,14,14,11,vox_long,vox_short,primary,correct_word_recall_pct,1.3172000515469975,source_voice_crossed,-0.3688892798498813,3.3869495369626392,9997,3,False
